Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kevin Durant (24866526),Kevin Durant,24866526,SF/PF/F/UTIL,10000,NOP@BKN 10/19/2022 07:30PM ET,BKN,51.88
PG,Ja Morant (24866840),Ja Morant,24866840,PG/G/UTIL,9900,NYK@MEM 10/19/2022 07:30PM ET,MEM,48.52
PG,Kyrie Irving (24866586),Kyrie Irving,24866586,PG/G/UTIL,9700,NOP@BKN 10/19/2022 07:30PM ET,BKN,45.96
PG,Trae Young (24866832),Trae Young,24866832,PG/G/UTIL,9500,HOU@ATL 10/19/2022 07:30PM ET,ATL,48.85
PG/SG,Dejounte Murray (24866733),Dejounte Murray,24866733,PG/SG/G/UTIL,9200,HOU@ATL 10/19/2022 07:30PM ET,ATL,50.67
PF,Zion Williamson (24866866),Zion Williamson,24866866,PF/F/UTIL,9100,NOP@BKN 10/19/2022 07:30PM ET,NOP,0
PF,Jimmy Butler (24866565),Jimmy Butler,24866565,PF/F/UTIL,9000,CHI@MIA 10/19/2022 07:30PM ET,MIA,42.81
SF/PF,DeMar DeRozan (24866559),DeMar DeRozan,24866559,SF/PF/F/UTIL,8800,CHI@MIA 10/19/2022 07:30PM ET,CHI,43.05
PG/SG,Donovan Mitchell (24866718),Donovan Mitchell,24866718,PG/SG/G/UTIL,8500,CLE@TOR 10/19/2022 07:30PM ET,CLE,42.64
SG,Zach LaVine (24866653),Zach LaVine,24866653,SG/G/UTIL,8200,CHI@MIA 10/19/2022 07:30PM ET,CHI,38.85
PG/SG,Fred VanVleet (24866643),Fred VanVleet,24866643,PG/SG/G/UTIL,8000,CLE@TOR 10/19/2022 07:30PM ET,TOR,40.75
PF,Julius Randle (24866656),Julius Randle,24866656,PF/F/UTIL,7900,NYK@MEM 10/19/2022 07:30PM ET,NYK,42.61
C,Pascal Siakam (24866706),Pascal Siakam,24866706,C/UTIL,7600,CLE@TOR 10/19/2022 07:30PM ET,TOR,45.08
SF,RJ Barrett (24866873),RJ Barrett,24866873,SF/F/UTIL,7400,NYK@MEM 10/19/2022 07:30PM ET,NYK,33.45
SG,Brandon Ingram (24866742),Brandon Ingram,24866742,SG/G/UTIL,7300,NOP@BKN 10/19/2022 07:30PM ET,NOP,40.58
C,Nikola Vucevic (24866563),Nikola Vucevic,24866563,C/UTIL,7200,CHI@MIA 10/19/2022 07:30PM ET,CHI,41.05
PG,Darius Garland (24866906),Darius Garland,24866906,PG/G/UTIL,7100,CLE@TOR 10/19/2022 07:30PM ET,CLE,41.66
PG/SF,Ben Simmons (24866737),Ben Simmons,24866737,PG/SF/F/G/UTIL,7000,NOP@BKN 10/19/2022 07:30PM ET,BKN,0
PG,Jalen Brunson (24866745),Jalen Brunson,24866745,PG/G/UTIL,6900,NYK@MEM 10/19/2022 07:30PM ET,NYK,30.87
PG,CJ McCollum (24866580),CJ McCollum,24866580,PG/G/UTIL,6900,NOP@BKN 10/19/2022 07:30PM ET,NOP,38.85
C,Jarrett Allen (24866813),Jarrett Allen,24866813,C/UTIL,6800,CLE@TOR 10/19/2022 07:30PM ET,CLE,36.01
PF,Jabari Smith II (24867060),Jabari Smith II,24867060,PF/F/UTIL,6600,HOU@ATL 10/19/2022 07:30PM ET,HOU,0
PG,Kevin Porter Jr. (24866923),Kevin Porter Jr.,24866923,PG/G/UTIL,6500,HOU@ATL 10/19/2022 07:30PM ET,HOU,33.25
C,Jonas Valanciunas (24866595),Jonas Valanciunas,24866595,C/UTIL,6500,NOP@BKN 10/19/2022 07:30PM ET,NOP,38.65
C,Bam Adebayo (24866815),Bam Adebayo,24866815,C/UTIL,6400,CHI@MIA 10/19/2022 07:30PM ET,MIA,38.41
C,Mitchell Robinson (24866847),Mitchell Robinson,24866847,C/UTIL,6400,NYK@MEM 10/19/2022 07:30PM ET,NYK,25.28
C,Clint Capela (24866659),Clint Capela,24866659,C/UTIL,6300,HOU@ATL 10/19/2022 07:30PM ET,ATL,31.74
PG/SF,Scottie Barnes (24867020),Scottie Barnes,24867020,PG/SF/F/G/UTIL,6100,CLE@TOR 10/19/2022 07:30PM ET,TOR,33.28
SG,Desmond Bane (24866787),Desmond Bane,24866787,SG/G/UTIL,6100,NYK@MEM 10/19/2022 07:30PM ET,MEM,31.68
PF/C,John Collins (24866722),John Collins,24866722,PF/C/F/UTIL,6100,HOU@ATL 10/19/2022 07:30PM ET,ATL,31.29
PG/SG,Tyler Herro (24866902),Tyler Herro,24866902,PG/SG/G/UTIL,6000,CHI@MIA 10/19/2022 07:30PM ET,MIA,32.50
SG,Gary Trent Jr. (24866826),Gary Trent Jr.,24866826,SG/G/UTIL,5900,CLE@TOR 10/19/2022 07:30PM ET,TOR,29.25
PF/C,Evan Mobley (24866999),Evan Mobley,24866999,PF/C/F/UTIL,5900,CLE@TOR 10/19/2022 07:30PM ET,CLE,33.79
PG,Kyle Lowry (24866520),Kyle Lowry,24866520,PG/G/UTIL,5800,CHI@MIA 10/19/2022 07:30PM ET,MIA,31.83
C,Steven Adams (24866629),Steven Adams,24866629,C/UTIL,5800,NYK@MEM 10/19/2022 07:30PM ET,MEM,26.29
SF,OG Anunoby (24866766),OG Anunoby,24866766,SF/F/UTIL,5700,CLE@TOR 10/19/2022 07:30PM ET,TOR,31.96
SG/SF,Dillon Brooks (24866713),Dillon Brooks,24866713,SG/SF/F/G/UTIL,5600,NYK@MEM 10/19/2022 07:30PM ET,MEM,28.10
C,Alperen Sengun (24867044),Alperen Sengun,24867044,C/UTIL,5600,HOU@ATL 10/19/2022 07:30PM ET,HOU,23.18
SG,Joe Harris (24866583),Joe Harris,24866583,SG/G/UTIL,5600,NOP@BKN 10/19/2022 07:30PM ET,BKN,20.11
C,Jaren Jackson Jr. (24866855),Jaren Jackson Jr.,24866855,C/UTIL,5500,NYK@MEM 10/19/2022 07:30PM ET,MEM,31.85
PG/SG,Patty Mills (24866552),Patty Mills,24866552,PG/SG/G/UTIL,5500,NOP@BKN 10/19/2022 07:30PM ET,BKN,19.26
SG,Jalen Green (24867036),Jalen Green,24867036,SG/G/UTIL,5400,HOU@ATL 10/19/2022 07:30PM ET,HOU,27.44
C,Nicolas Claxton (24866838),Nicolas Claxton,24866838,C/UTIL,5400,NOP@BKN 10/19/2022 07:30PM ET,BKN,20.88
SG/SF,Caris LeVert (24866638),Caris LeVert,24866638,SG/SF/F/G/UTIL,5300,CLE@TOR 10/19/2022 07:30PM ET,CLE,30.48
SG/SF,Bogdan Bogdanovic (24866661),Bogdan Bogdanovic,24866661,SG/SF/F/G/UTIL,5300,HOU@ATL 10/19/2022 07:30PM ET,ATL,27.94
PG/SG,Victor Oladipo (24866589),Victor Oladipo,24866589,PG/SG/G/UTIL,5200,CHI@MIA 10/19/2022 07:30PM ET,MIA,21.48
PG/SG,Ayo Dosunmu (24866884),Ayo Dosunmu,24866884,PG/SG/G/UTIL,5200,CHI@MIA 10/19/2022 07:30PM ET,CHI,18.90
PF/C,Kevin Love (24866539),Kevin Love,24866539,PF/C/F/UTIL,5200,CLE@TOR 10/19/2022 07:30PM ET,CLE,27.88
SF,De'Andre Hunter (24866784),De'Andre Hunter,24866784,SF/F/UTIL,5100,HOU@ATL 10/19/2022 07:30PM ET,ATL,22.45
SG,Seth Curry (24866568),Seth Curry,24866568,SG/G/UTIL,5100,NOP@BKN 10/19/2022 07:30PM ET,BKN,26.38
PF/C,Larry Nance Jr. (24866599),Larry Nance Jr.,24866599,PF/C/F/UTIL,5100,NOP@BKN 10/19/2022 07:30PM ET,NOP,19.48
PG/SG,Cameron Thomas (24867003),Cameron Thomas,24867003,PG/SG/G/UTIL,5100,NOP@BKN 10/19/2022 07:30PM ET,BKN,14.21
